name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Ricardo Ramos,200,90,240,0,140,27,0,697
Waldo Cortes-Acosta,200,0,320,0,0,176,0,696
Kendall Grove,200,180,80,0,140,94,0,694
Kyle Noke,300,180,0,0,70,141,0,691
Ray Borg,0,180,400,0,0,86,25,691
Loopy Godinez,0,180,240,0,140,129,0,689
Sergio Moraes,100,270,160,0,140,15,0,685
Charles Johnson,200,0,240,0,70,174,0,684
Claudia Gadelha,0,90,320,0,140,109,25,684
Douglas Silva de Andrade,200,90,320,0,0,72,0,682
Brad Pickett,100,180,240,0,140,21,0,681
Leonardo Santos,200,180,160,0,70,71,0,681
Kazuyuki Fujita,300,180,160,0,0,41,0,681
Olivier Aubin-Mercier,100,360,80,0,70,71,0,681
Cortney Casey,100,180,160,0,70,166,0,676
Joshua Van,100,0,240,0,70,265,0,675
Matheus Nicolau,100,90,240,0,140,79,25,674
Ketlen Vieira,0,90,320,0,210,3,50,673
Gina Carano,200,90,240,0,0,115,25,670
Michael Morales,300,0,240,0,0,130,0,670
Chris Curtis,400,0,80,0,70,93,25,668
Loma Lookboonmee,0,90,320,0,70,187,0,667
Casey O'Neill,200,90,80,0,70,226,0,666
Jasmine Jasudavicius,0,180,400,0,0,85,0,665
Danny Roberts,300,90,80,0,140,54,0,664
Ariane da Silva,0,180,240,0,70,174,0,664
Viviane Araujo,100,0,480,0,0,55,25,660
Andre Petroski,100,180,240,0,70,69,0,659
Pat Healy,0,180,400,0,0,79,0,659
Sage Northcutt,200,90,240,0,0,129,0,659
Matthew Riddle,100,0,320,0,70,168,0,658
Don'Tale Mayes,400,0,160,0,0,98,0,658
Zabit Magomedsharipov,0,270,240,0,0,147,0,657
Punahele Soriano,300,0,160,0,0,196,0,656
Luke Stewart,300,270,0,0,0,86,0,656
Jack Shore,0,270,160,0,70,154,0,654
Diego Nunes,0,0,400,0,140,114,0,654
Lavar Johnson,500,0,0,0,0,153,0,653
Chad Laprise,300,0,160,0,70,122,0,652
Benoit Saint Denis,300,180,0,0,0,122,50,652
Alessio Sakara,400,0,80,0,70,100,0,650
Cynthia Calvillo,0,270,240,0,0,113,25,648
Bill Algeo,100,90,240,0,0,217,0,647
Brendan Schaub,300,90,160,0,0,97,0,647
Shane Carwin,500,0,0,0,0,96,50,646
Misha Cirkunov,100,450,0,0,0,89,0,639
Chidi Njokuani,300,0,80,0,70,189,0,639
Muhammad Mokaev,0,360,240,0,0,39,0,639
Yana Santos,0,0,400,0,0,213,25,638
Rafael Fiziev,300,0,240,0,0,46,50,636
Hidehiko Yoshida,0,540,80,0,0,16,0,636
James Thompson,500,0,0,0,0,136,0,636
Paige VanZant,200,180,80,0,0,126,50,636
Song Kenan,300,0,240,0,0,95,0,635
Makwan Amirkhani,100,360,80,0,70,25,0,635
Tyson Pedro,400,180,0,0,0,53,0,633
Fares Ziam,100,0,240,75,70,145,0,630
Youssef Zalal,0,270,240,0,0,119,0,629
Wilson Reis,0,180,400,0,0,23,25,628
Frank Trigg,300,0,160,0,0,117,50,627
Mirsad Bektic,200,90,80,75,70,112,0,627
