player_name,value,playoff_value,total_value,passes_bought
Christian Bethancourt,147,0,147,46
Ryan Burr,147,0,147,2
Brooks Lee,146,0,146,113
Josh Jung,145,0,145,787
Kody Funderburk,145,0,145,13
Matt Bowman,145,0,145,1
Alex Lange,144,0,144,42
Adam Cimber,143,0,143,8
Evan Carter,143,0,143,490
Blaze Alexander,142,0,142,130
Jordan Walker,142,0,142,267
Keaton Winn,142,0,142,46
Kyle Muller,141,0,141,6
Dairon Blanco,140,5,145,45
Jhony Brito,140,0,140,5
Roddery Muñoz,140,0,140,12
Thyago Vieira,140,0,140,11
Dominic Canzone,139,0,139,86
Matthew Boyd,138,124,262,22
Nick Martini,138,0,138,242
Fraser Ellard,137,0,137,2
Grant Anderson,137,0,137,9
Jonathan Aranda,137,0,137,8
Adrian Houser,136,0,136,29
Brock Burke,136,0,136,12
DJ Stewart,136,0,136,94
Daysbel Hernández,136,27,163,5
Miguel Vargas,136,0,136,27
Eduardo Salazar,135,0,135,1
Nick Ahmed,135,0,135,73
Dominic Fletcher,134,0,134,20
Joe Boyle,133,0,133,5
Angel Martínez,131,0,131,53
Sean Reid-Foley,131,0,131,11
Alex Call,130,0,130,12
Dany Jiménez,130,0,130,6
Drew Rasmussen,130,0,130,6
Giovanny Gallegos,130,0,130,
Gus Varland,129,0,129,4
Matt Thaiss,127,0,127,5
Davis Martin,126,0,126,7
