name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Tom Erikson,9,4
Konstantin Erokhin,9,3
Julian Erosa,28,12
Jarno Errens,13,5
Nick Ertl,8,6
Chel Erwin-Davis,5,1
Bobby Escalante,5,6
Eric Esch,15,10
Pro Escobedo,1,0
Cole Escovedo,17,9
Efrain Escudero,28,12
Evan Esguerra,8,7
Carla Esparza,20,7
Juan Espino,11,2
Jordan Espinosa,15,9
Jodie Esquibel,6,6
Rafael Estevam,12,0
Achilles Estremadura,7,1
Shaun Etchell,7,3
Terry Etim,16,5
Fred Ettish,1,1
Scott Ettling,4,2
Sijara Eubanks,8,7
Billy Evangelista,13,3
Rashad Evans,19,8
Doug Evans,13,10
Ashlee Evans-Smith,6,6
Dan Evensen,11,4
Tonya Evinger,19,8
Movsar Evloev,18,0
Andre Ewell,17,9
Neal Ewing,6,0
